Name,College,Major,High School,High School Location,Extracurriculars,Volunteering,Awards
Zane Cooper,UCLA,Biology,El Segundo High School,El Segundo, CA,"Biology Club (President), Basketball Team, Yearbook Committee","Hospital Volunteer","AP Scholar with Distinction, State Science Fair Winner"
Abby Flores,Stanford University,Mathematics,Gunn High School,Palo Alto, CA,"Math Olympiad (Vice President), Robotics Club, Art Club","Math Tutor at local library","AMC 12 Honor Roll, USAMO Qualifier"
Bryce Nelson,Harvard University,Computer Science,Phillips Andover Academy,Andover, MA,"Robotics Club (President), Coding Club, Tennis Team","Volunteered at local community center","Google Code-In Finalist, National Merit Scholar"
Chloe Adams,MIT,Biology,Ridgewood High School,Ridgewood, NJ,"Science Olympiad (Captain), Track Team, Yearbook Editor","Red Cross Volunteer","ISEF Finalist, AP Scholar with Honor"
Derek Lin,UCLA,Political Science,Torrance High School,Torrance, CA,"Debate Club (President), Model UN, Newspaper Editor","Local campaign volunteer","State Debate Champion, AP Scholar with Distinction"
Emma Wang,Stanford University,Computer Science,Mission San Jose High School,Fremont, CA,"Robotics Club (Co-President), Math Club, Drama Club","Code for Good Hackathon Mentor","Google Code-In Winner, National Merit Scholar"
Name,College,Major,High School,High School Location,Extracurriculars,Volunteering,Awards
Aaron Miller,MIT,Computer Science,Lexington High School,Lexington, MA,"Coding Club (President), Math Olympiad, Soccer Team","Tutored coding to middle school students","Regeneron STS Semifinalist, USACO Silver Division"
Bella Nguyen,UCLA,Biology,Northwood High School,Irvine, CA,"Science Olympiad (Vice President), Tennis Team, Debate Club","Hospital Volunteer, Community Health Fair Organizer","AP Scholar with Distinction, State Science Fair Winner"
Caleb Davis,Stanford University,Mathematics,Lynbrook High School,San Jose, CA,"Math Club (President), Robotics Team, Chess Club","Math Tutor at local library","AMC 12 Honor Roll, Math Olympiad Bronze Medalist"
Danielle Roberts,Harvard University,Political Science,Georgetown Day School,Washington, DC,"Model UN (Vice President), Student Government, Track Team","Soup Kitchen Volunteer","National Debate Tournament Finalist, AP Scholar"
Ethan Zhang,MIT,Computer Science,Thomas Jefferson High School for Science and Technology,Alexandria, VA,"Programming Club (President), Science Bowl, Robotics Team","Code for America Volunteer","Intel ISEF Finalist, National Merit Scholar"
Fiona Scott,UCLA,Mathematics,Harvard-Westlake School,Los Angeles, CA,"Math Club (President), Soccer Team, Yearbook Committee","Math Tutor at local community center","AMC 10 Top Scorer, AP Scholar with Honor"
George Harris,Stanford University,Biology,Saratoga High School,Saratoga, CA,"Biology Club (President), Tennis Team, Chess Club","Animal Shelter Volunteer","Siemens Competition Semifinalist, AP Scholar with Distinction"
Holly Adams,Harvard University,Computer Science,Phillips Academy Andover,Andover, MA,"Robotics Club (Vice President), Computer Science Club, Track Team","Taught programming to elementary school students","Google Code-In Winner, National AP Scholar"
Isaac Williams,MIT,Mathematics,Brookline High School,Brookline, MA,"Math Olympiad Team (Captain), Science Bowl, Chess Club","Math Tutor at local library","AMC 12 Top Scorer, USAJMO Qualifier"
Jenna Kim,UCLA,Biology,Torrance High School,Torrance, CA,"Biology Club (President), Swim Team, Drama Club","Hospital Volunteer","AP Scholar with Distinction, State Science Fair Winner"
Kyle Anderson,Stanford University,Political Science,Phillips Exeter Academy,Exeter, NH,"Model UN (President), Debate Club, Track Team","Local campaign volunteer","National Debate Champion, AP Scholar with Honor"
Lena Garcia,Harvard University,Mathematics,Stuyvesant High School,New York, NY,"Math Team (President), Robotics Club, Chess Club","Tutored math at local high school","AMC 12 Honor Roll, Math Olympiad Silver Medalist"
Mason Thompson,MIT,Computer Science,Pingry School,Martinsville, NJ,"Programming Club (President), Robotics Team, Yearbook Editor","Taught coding at local library","USACO Gold Division, Regeneron STS Semifinalist"
Nina Patel,UCLA,Mathematics,Montgomery Blair High School,Silver Spring, MD,"Math Club (President), Science Bowl, Chess Club","Math Tutor at local library","AMC 10 Top Scorer, AP Scholar with Honor"
Oscar Lee,Stanford University,Biology,The Harker School,San Jose, CA,"Biology Club (Vice President), Cross Country Team, Debate Club","Habitat for Humanity Volunteer","AP Scholar with Distinction, Biology Olympiad Bronze Medalist"
Penelope Martin,Harvard University,Computer Science,Phillips Exeter Academy,Exeter, NH,"Robotics Club (President), Coding Club, Orchestra","Taught programming at community center","National Merit Scholar, Google Code-In Finalist"
Quincy Jones,MIT,Political Science,Boston Latin School,Boston, MA,"Model UN (President), Debate Club, Soccer Team","Soup Kitchen Volunteer","National History Day State Champion, AP Scholar with Distinction"
Rachel Park,UCLA,Computer Science,North Hollywood High School,Los Angeles, CA,"Coding Club (President), Robotics Team, Debate Club","Code for America Volunteer","National Merit Scholar, State Robotics Competition Winner"
Sarah Johnson,Stanford University,Mathematics,San Mateo High School,San Mateo, CA,"Math Club (President), Chess Club, Orchestra","Math Tutor at local middle school","AMC 12 Honor Roll, USAMO Qualifier"
Thomas Nguyen,Harvard University,Biology,Ridgewood High School,Ridgewood, NJ,"Biology Club (President), Tennis Team, Student Government","Hospital Volunteer","AP Scholar with Distinction, ISEF Finalist"
Ursula White,MIT,Mathematics,Phillips Academy Andover,Andover, MA,"Math Olympiad (President), Science Bowl, Drama Club","Tutored math at local high school","AMC 12 Top Scorer, Math Olympiad Bronze Medalist"
Victor Martinez,UCLA,Biology,Westlake High School,Westlake Village, CA,"Biology Club (President), Soccer Team, Robotics Club","Animal Shelter Volunteer","AP Scholar with Honor, State Science Fair Winner"
Wendy Kim,Stanford University,Political Science,Mission San Jose High School,Fremont, CA,"Model UN (Vice President), Debate Club, Drama Club","Local campaign volunteer","National Debate Tournament Semifinalist, AP Scholar"
Xander Thompson,Harvard University,Computer Science,The Dalton School,New York, NY,"Robotics Club (President), Coding Club, Orchestra","Taught programming to middle school students","Google Code-In Winner, National AP Scholar"
Yara Patel,MIT,Biology,Lynbrook High School,San Jose, CA,"Science Club (President), Swimming Team, Debate Club","Hospital Volunteer","ISEF Finalist, AP Scholar with Distinction"
Zachary Clark,UCLA,Mathematics,Crescenta Valley High School,La Crescenta, CA,"Math Team (President), Robotics Team, Chess Club","Math Tutor at local community center","AMC 10 Honor Roll, AP Scholar"
Amanda Smith,Stanford University,Computer Science,Gunn High School,Palo Alto, CA,"Coding Club (President), Robotics Team, Choir","Code for Good Hackathon Mentor","Google Code-In Winner, National Merit Scholar"
Blake Nelson,Harvard University,Political Science,Boston Latin School,Boston, MA,"Model UN (President), Newspaper Editor, Soccer Team","Youth Advocacy Volunteer","National History Day State Champion, National Debate Semifinalist"
Catherine Flores,MIT,Mathematics,Menlo School,Atherton, CA,"Math Club (Co-President), Science Bowl, Lacrosse Team","Math Tutor at local high school","Intel STS Finalist, National Merit Scholar"
Dylan Edwards,UCLA,Biology,Santa Monica High School,Santa Monica, CA,"Biology Club (President), Basketball Team, Photography Club","Animal Shelter Volunteer","AP Scholar with Distinction, Regional Science Fair Winner"
Elena Martinez,Stanford University,Computer Science,Los Altos High School,Los Altos, CA,"Robotics Club (Vice President), Coding Club, Art Club","Code for Good Hackathon Mentor","Google Code-In Winner, National Merit Scholar"
Finn Harris,Harvard University,Mathematics,Bronx Science,Bronx, NY,"Math Team (President), Robotics Club, Chess Club","Tutored math at local high school","AMC 12 Honor Roll, USAMO Qualifier"
Gina Lopez,MIT,Biology,Wellesley High School,Wellesley, MA,"Science Olympiad (Captain), Tennis Team, Art Club","Hospital Volunteer","ISEF Finalist, AP Scholar with Honor"
Henry Walker,UCLA,Computer Science,San Marino High School,San Marino, CA,"Robotics Club (President), Computer Science Club, Art Club","Volunteered at local senior center","National AP Scholar, National Robotics Competition Finalist"
Isla Brooks,Stanford University,Political Science,Lakeside School,Seattle, WA,"Model UN (President), Debate Club, Track Team","Local campaign volunteer","National Debate Tournament Semifinalist, AP Scholar"
Jake Brown,Harvard University,Biology,Harvard-Westlake School,Los Angeles, CA,"Biology Club (President), Swim Team, Yearbook Committee","Hospital Volunteer","AP Scholar with Distinction, State Science Fair Winner"
Kara Wilson,MIT,Mathematics,The Bishop's School,La Jolla, CA,"Math Team (Captain), Science Bowl, Track Team","Math Tutor at local middle school","AMC 10 Top Scorer, USAJMO Qualifier"
Leo Thompson,UCLA,Political Science,El Segundo High School,El Segundo, CA,"Debate Club (President), Model UN, Newspaper Editor","Local campaign volunteer","State Debate Champion, AP Scholar with Distinction"
Maya Gonzalez,Stanford University,Computer Science,Mission San Jose High School,Fremont, CA,"Robotics Club (Co-President), Math Club, Drama Club","Code for Good Hackathon Mentor","Google Code-In Winner, National Merit Scholar"
Nathan Evans,Harvard University,Mathematics,Ridgewood High School,Ridgewood, NJ,"Math Team (President), Robotics Club, Chess Club","Tutored math at local library","AMC 12 Honor Roll, Math Olympiad Silver Medalist"
Olivia Johnson,MIT,Computer Science,Phillips Exeter Academy,Exeter, NH,"Programming Club (President), Science Olympiad, Track Team","Taught coding at local elementary school","Regeneron STS Finalist, National AP Scholar"
Parker Smith,UCLA,Biology,Menlo-Atherton High School,Menlo Park, CA,"Biology Club (President), Soccer Team, Newspaper Editor","Hospital Volunteer","AP Scholar with Honor, Regional Science Fair Winner"
Quinn Adams,Stanford University,Political Science,Newton North High School,Newton, MA,"Model UN (President), Debate Club, Cross Country Team","Soup Kitchen Volunteer","National Debate Tournament Finalist, AP Scholar"
Riley Edwards,Harvard University,Mathematics,North Hollywood High School,Los Angeles, CA,"Math Club (President), Science Bowl, Chess Club","Math Tutor at local high school","AMC 10 Top Scorer, AP Scholar with Distinction"
Sophia Harris,MIT,Computer Science,The Harker School,San Jose, CA,"Robotics Club (Vice President), Programming Club, Yearbook Editor","Code for Good Hackathon Mentor","USACO Gold Division, National Merit Scholar"
Talia Wilson,UCLA,Biology,San Mateo High School,San Mateo, CA,"Science Olympiad (President), Tennis Team, Art Club","Animal Shelter Volunteer","ISEF Finalist, AP Scholar with Distinction"
Umar Patel,Stanford University,Mathematics,San Ramon Valley High School,San Ramon, CA,"Math Team (President), Robotics Club, Orchestra","Tutored math at local library","AMC 12 Honor Roll, Math Olympiad Bronze Medalist"
Violet Chen,Harvard University,Political Science,Bronx Science,Bronx, NY,"Model UN (President), Debate Club, Soccer Team","Local campaign volunteer","National Debate Tournament Semifinalist, AP Scholar with Honor"
William Parker,MIT,Computer Science,Phillips Academy Andover,Andover, MA,"Programming Club (President), Science Olympiad, Robotics Team","Taught coding at local library","USACO Silver Division, National AP Scholar"
Xena Lopez,UCLA,Biology,Palo Alto High School,Palo Alto, CA,"Biology Club (Vice President), Tennis Team, Debate Club","Hospital Volunteer","AP Scholar with Distinction, State Science Fair Winner"
Yusuf Ahmed,Stanford University,Computer Science,Henry M. Gunn High School,Palo Alto, CA,"Robotics Club (President), Programming Club, Math Team","Code for Good Hackathon Mentor","Google Code-In Finalist, National Merit Scholar"
Zara Mitchell,Harvard University,Mathematics,Riverside High School,Riverside, CA,"Math Club (President), Science Bowl, Debate Club","Tutored math at local high school","AMC 12 Honor Roll, AP Scholar with Honor"
Abigail Turner,MIT,Biology,Brookline High School,Brookline, MA,"Science Olympiad (Captain), Track Team, Art Club","Hospital Volunteer","ISEF Finalist, AP Scholar with Honor"
Brayden Collins,UCLA,Computer Science,San Francisco University High School,San Francisco, CA,"Coding Club (President), Robotics Team, Newspaper Editor","Code for America Volunteer","National AP Scholar, State Robotics Competition Winner"
Chloe Peterson,Stanford University,Political Science,Lakeside School,Seattle, WA,"Model UN (Vice President), Debate Club, Cross Country Team","Local campaign volunteer","National Debate Tournament Semifinalist, AP Scholar"
Dominic Lee,Harvard University,Mathematics,Los Altos High School,Los Altos, CA,"Math Team (President), Robotics Club, Chess Club","Tutored math at local middle school","AMC 10 Top Scorer, USAMO Qualifier"
Emma Bennett,MIT,Computer Science,Menlo School,Atherton, CA,"Programming Club (President), Robotics Team, Drama Club","Taught coding at local community center","USACO Gold Division, Regeneron STS Semifinalist"
Felix Carter,UCLA,Biology,Saratoga High School,Saratoga, CA,"Biology Club (President), Tennis Team, Debate Club","Animal Shelter Volunteer","AP Scholar with Distinction, State Science Fair Winner"
Grace Walker,Stanford University,Mathematics,Georgetown Day School,Washington, DC,"Math Club (President), Chess Club, Orchestra","Math Tutor at local library","AMC 12 Honor Roll, Math Olympiad Bronze Medalist"
Hunter Murphy,Harvard University,Computer Science,Phillips Academy Andover,Andover, MA,"Robotics Club (President), Coding Club, Soccer Team","Code for America Volunteer","Google Code-In Winner, National Merit Scholar"
Ivy Nguyen,MIT,Biology,The Bishop's School,La Jolla, CA,"Science Olympiad (Vice President), Tennis Team, Yearbook Editor","Hospital Volunteer","ISEF Finalist, AP Scholar with Honor"
Aiden Brooks,MIT,Computer Science,Berkeley High School,Berkeley, CA,"Robotics Club (President), Coding Club, Track Team","Tutored coding at local community center","USACO Gold Division, National Merit Scholar"
Bella Johnson,UCLA,Biology,Beverly Hills High School,Beverly Hills, CA,"Science Olympiad (Vice President), Swim Team, Drama Club","Hospital Volunteer","AP Scholar with Distinction, State Science Fair Winner"
Calvin Chen,Stanford University,Mathematics,Carmel High School,Carmel, IN,"Math Club (President), Chess Team, Debate Club","Math Tutor at local library","AMC 12 Honor Roll, USAJMO Qualifier"
Daisy Anderson,Harvard University,Political Science,Cranbrook Schools,Bloomfield Hills, MI,"Model UN (President), Debate Club, Cross Country Team","Soup Kitchen Volunteer","National Debate Tournament Finalist, AP Scholar"
Evan Patel,MIT,Mathematics,Newton South High School,Newton, MA,"Math Olympiad Team (Captain), Science Bowl, Robotics Club","Tutored math at local community center","AMC 12 Top Scorer, Math Olympiad Silver Medalist"
Faith Green,UCLA,Computer Science,Eastlake High School,Sammamish, WA,"Programming Club (President), Robotics Team, Choir","Code for America Volunteer","Google Code-In Winner, National AP Scholar"
George Lee,Stanford University,Biology,The Bishop's School,La Jolla, CA,"Biology Club (President), Water Polo Team, Debate Club","Hospital Volunteer","AP Scholar with Distinction, ISEF Finalist"
Hannah Martinez,Harvard University,Mathematics,The Bronx High School of Science,Bronx, NY,"Math Club (President), Robotics Team, Orchestra","Math Tutor at local library","AMC 12 Honor Roll, USAMO Qualifier"
Ivy Collins,MIT,Computer Science,St. Ignatius College Preparatory,San Francisco, CA,"Robotics Club (President), Coding Club, Drama Club","Tutored coding to middle school students","USACO Gold Division, National Merit Scholar"
Jake Parker,UCLA,Biology,Granada Hills Charter High School,Granada Hills, CA,"Science Olympiad (Vice President), Soccer Team, Student Government","Hospital Volunteer","AP Scholar with Distinction, State Science Fair Winner"
Kayla Murphy,Stanford University,Political Science,The Hotchkiss School,Lakeville, CT,"Model UN (President), Debate Club, Newspaper Editor","Local campaign volunteer","National Debate Tournament Semifinalist, AP Scholar"
Liam Rodriguez,Harvard University,Mathematics,Ransom Everglades School,Miami, FL,"Math Club (President), Science Bowl, Chess Club","Math Tutor at local high school","AMC 12 Honor Roll, USAJMO Qualifier"
Maya Torres,MIT,Biology,Punahou School,Honolulu, HI,"Science Olympiad (Captain), Tennis Team, Debate Club","Animal Shelter Volunteer","ISEF Finalist, AP Scholar with Honor"
Noah Thompson,UCLA,Computer Science,Los Gatos High School,Los Gatos, CA,"Coding Club (President), Robotics Team, Yearbook Editor","Code for Good Hackathon Mentor","USACO Silver Division, National AP Scholar"
Olivia White,Stanford University,Mathematics,Greenwich High School,Greenwich, CT,"Math Club (President), Robotics Team, Track Team","Math Tutor at local middle school","AMC 12 Top Scorer, USAMO Qualifier"
Parker Davis,Harvard University,Political Science,Detroit Country Day School,Beverly Hills, MI,"Model UN (President), Debate Club, Soccer Team","Soup Kitchen Volunteer","National Debate Tournament Finalist, AP Scholar"
Quincy Brown,MIT,Computer Science,Shaker Heights High School,Shaker Heights, OH,"Robotics Club (President), Programming Club, Cross Country Team","Tutored coding at community center","USACO Gold Division, Regeneron STS Semifinalist"
Ryan Kim,UCLA,Biology,Westview High School,San Diego, CA,"Biology Club (President), Swim Team, Science Olympiad","Hospital Volunteer","AP Scholar with Distinction, Regional Science Fair Winner"
Sophie Evans,Stanford University,Political Science,Woodside High School,Woodside, CA,"Model UN (Vice President), Debate Club, Track Team","Local campaign volunteer","National Debate Tournament Semifinalist, AP Scholar"
Tyler Scott,Harvard University,Mathematics,Bergen County Academies,Hackensack, NJ,"Math Olympiad Team (Captain), Robotics Club, Orchestra","Math Tutor at local high school","AMC 12 Honor Roll, USAMO Qualifier"
